gap_id,area,metric,actual_value,expected_value,severity,evidence,probable_cause,missing_evidence,validation_questions,recommended_action,owner,urgency,expected_impact,follow_up_metric,status
gap_low_crm_data_quality_score,crm_governance,crm_data_quality_score,74.0,>= 82,critical,Os dados sugerem score geral de qualidade em 74.0/100.,"Hipótese provável: os dados sugerem fragilidade de regra, processo ou accountability operacional; precisa ser validado antes de confirmar causa raiz.","Regras reais do CRM, exceções aprovadas, notas comerciais, motivo de alteração, critérios de forecast e validação dos managers.","O comportamento observado vem de regra de sistema, disciplina operacional, mix de carteira, exceção aprovada ou ausência de governança?",Criar war room de CRM hygiene com owners por objeto e foco em campos críticos.,Head de RevOps,immediate,"Melhorar forecast, pipeline hygiene, produtividade comercial, governança e qualidade da decisão executiva.",crm_data_quality_score,open
gap_leads_without_source,lead_governance,lead_missing_source_rate,0.108,<= 0.05,high,A evidência disponível aponta para 13 leads sem source.,"Hipótese provável: os dados sugerem fragilidade de regra, processo ou accountability operacional; precisa ser validado antes de confirmar causa raiz.","Regras reais do CRM, exceções aprovadas, notas comerciais, motivo de alteração, critérios de forecast e validação dos managers.","O comportamento observado vem de regra de sistema, disciplina operacional, mix de carteira, exceção aprovada ou ausência de governança?",Bloquear criação ou roteamento de lead sem source.,Marketing Ops,this_week,"Melhorar forecast, pipeline hygiene, produtividade comercial, governança e qualidade da decisão executiva.",lead_missing_source_rate,open
gap_duplicate_leads,deduplication,duplicate_leads,5.0,0,medium,Há indícios de 5 leads duplicados por email.,"Hipótese provável: os dados sugerem fragilidade de regra, processo ou accountability operacional; precisa ser validado antes de confirmar causa raiz.","Regras reais do CRM, exceções aprovadas, notas comerciais, motivo de alteração, critérios de forecast e validação dos managers.","O comportamento observado vem de regra de sistema, disciplina operacional, mix de carteira, exceção aprovada ou ausência de governança?",Ativar dedupe por email antes do roteamento.,Sales Ops,this_month,"Melhorar forecast, pipeline hygiene, produtividade comercial, governança e qualidade da decisão executiva.",duplicate_lead_rate,open
gap_duplicate_accounts,deduplication,duplicate_accounts,4.0,0,high,Os dados sugerem 4 contas duplicadas por nome e domínio.,"Hipótese provável: os dados sugerem fragilidade de regra, processo ou accountability operacional; precisa ser validado antes de confirmar causa raiz.","Regras reais do CRM, exceções aprovadas, notas comerciais, motivo de alteração, critérios de forecast e validação dos managers.","O comportamento observado vem de regra de sistema, disciplina operacional, mix de carteira, exceção aprovada ou ausência de governança?",Consolidar contas duplicadas e criar matching por domínio.,CRM Manager,this_week,"Melhorar forecast, pipeline hygiene, produtividade comercial, governança e qualidade da decisão executiva.",duplicate_account_rate,open
gap_contacts_without_account,relationship_integrity,contacts_without_account,4.0,0,medium,Há 4 contatos sem conta associada.,"Hipótese provável: os dados sugerem fragilidade de regra, processo ou accountability operacional; precisa ser validado antes de confirmar causa raiz.","Regras reais do CRM, exceções aprovadas, notas comerciais, motivo de alteração, critérios de forecast e validação dos managers.","O comportamento observado vem de regra de sistema, disciplina operacional, mix de carteira, exceção aprovada ou ausência de governança?",Associar contatos por domínio e exigir account_id.,CRM Admin,this_month,"Melhorar forecast, pipeline hygiene, produtividade comercial, governança e qualidade da decisão executiva.",contacts_without_account,open
gap_accounts_without_owner,ownership,accounts_without_owner,4.0,0,high,Há 4 contas sem owner.,"Hipótese provável: os dados sugerem fragilidade de regra, processo ou accountability operacional; precisa ser validado antes de confirmar causa raiz.","Regras reais do CRM, exceções aprovadas, notas comerciais, motivo de alteração, critérios de forecast e validação dos managers.","O comportamento observado vem de regra de sistema, disciplina operacional, mix de carteira, exceção aprovada ou ausência de governança?",Fazer backfill de owner e criar regra diária de atribuição.,Sales Ops Manager,this_week,"Melhorar forecast, pipeline hygiene, produtividade comercial, governança e qualidade da decisão executiva.",accounts_without_owner,open
gap_opportunities_without_owner,ownership,opportunities_without_owner,4.0,0,critical,Existem 4 oportunidades sem AE owner.,"Hipótese provável: os dados sugerem fragilidade de regra, processo ou accountability operacional; precisa ser validado antes de confirmar causa raiz.","Regras reais do CRM, exceções aprovadas, notas comerciais, motivo de alteração, critérios de forecast e validação dos managers.","O comportamento observado vem de regra de sistema, disciplina operacional, mix de carteira, exceção aprovada ou ausência de governança?",Atribuir owner antes de qualquer forecast inclusion.,Head de Sales,immediate,"Melhorar forecast, pipeline hygiene, produtividade comercial, governança e qualidade da decisão executiva.",opportunities_without_owner,open
gap_opportunities_without_close_date,forecast_governance,opportunities_without_close_date,5.0,0,critical,Há 5 oportunidades sem close_date.,"Hipótese provável: os dados sugerem fragilidade de regra, processo ou accountability operacional; precisa ser validado antes de confirmar causa raiz.","Regras reais do CRM, exceções aprovadas, notas comerciais, motivo de alteração, critérios de forecast e validação dos managers.","O comportamento observado vem de regra de sistema, disciplina operacional, mix de carteira, exceção aprovada ou ausência de governança?",Bloquear forecast de oportunidades abertas sem close_date validada.,RevOps,immediate,"Melhorar forecast, pipeline hygiene, produtividade comercial, governança e qualidade da decisão executiva.",opportunities_without_close_date,open
gap_opportunities_without_next_step,pipeline_hygiene,opportunities_without_next_step,5.0,0,high,Há 5 oportunidades abertas sem next_step.,"Hipótese provável: os dados sugerem fragilidade de regra, processo ou accountability operacional; precisa ser validado antes de confirmar causa raiz.","Regras reais do CRM, exceções aprovadas, notas comerciais, motivo de alteração, critérios de forecast e validação dos managers.","O comportamento observado vem de regra de sistema, disciplina operacional, mix de carteira, exceção aprovada ou ausência de governança?",Exigir next_step datado em pipeline review.,Sales Managers,this_week,"Melhorar forecast, pipeline hygiene, produtividade comercial, governança e qualidade da decisão executiva.",opportunities_without_next_step,open
gap_stale_opportunities,pipeline_hygiene,stale_opportunities,34.0,0,high,Há 34 oportunidades paradas há mais de 20 dias.,"Hipótese provável: os dados sugerem fragilidade de regra, processo ou accountability operacional; precisa ser validado antes de confirmar causa raiz.","Regras reais do CRM, exceções aprovadas, notas comerciais, motivo de alteração, critérios de forecast e validação dos managers.","O comportamento observado vem de regra de sistema, disciplina operacional, mix de carteira, exceção aprovada ou ausência de governança?",Criar limpeza semanal de oportunidades paradas.,Sales Managers,this_week,"Melhorar forecast, pipeline hygiene, produtividade comercial, governança e qualidade da decisão executiva.",stale_opportunities,open
gap_closed_won_without_amount,revenue_integrity,closed_won_without_amount,2.0,0,critical,Há 2 Closed Won sem amount válido.,"Hipótese provável: os dados sugerem fragilidade de regra, processo ou accountability operacional; precisa ser validado antes de confirmar causa raiz.","Regras reais do CRM, exceções aprovadas, notas comerciais, motivo de alteração, critérios de forecast e validação dos managers.","O comportamento observado vem de regra de sistema, disciplina operacional, mix de carteira, exceção aprovada ou ausência de governança?",Corrigir amount antes de report executivo.,Finance/FP&A,immediate,"Melhorar forecast, pipeline hygiene, produtividade comercial, governança e qualidade da decisão executiva.",closed_won_without_amount,open
gap_closed_lost_without_loss_reason,loss_governance,closed_lost_without_loss_reason,3.0,0,high,Há 3 Closed Lost sem loss_reason.,"Hipótese provável: os dados sugerem fragilidade de regra, processo ou accountability operacional; precisa ser validado antes de confirmar causa raiz.","Regras reais do CRM, exceções aprovadas, notas comerciais, motivo de alteração, critérios de forecast e validação dos managers.","O comportamento observado vem de regra de sistema, disciplina operacional, mix de carteira, exceção aprovada ou ausência de governança?",Exigir loss_reason e revisar taxonomia de perdas.,Sales Ops,this_week,"Melhorar forecast, pipeline hygiene, produtividade comercial, governança e qualidade da decisão executiva.",closed_lost_without_loss_reason,open
gap_zero_amount_opportunities,revenue_integrity,opportunities_with_zero_amount,6.0,0,high,Existem 6 oportunidades com amount zerado.,"Hipótese provável: os dados sugerem fragilidade de regra, processo ou accountability operacional; precisa ser validado antes de confirmar causa raiz.","Regras reais do CRM, exceções aprovadas, notas comerciais, motivo de alteração, critérios de forecast e validação dos managers.","O comportamento observado vem de regra de sistema, disciplina operacional, mix de carteira, exceção aprovada ou ausência de governança?",Definir stage gate para amount.,RevOps,this_week,"Melhorar forecast, pipeline hygiene, produtividade comercial, governança e qualidade da decisão executiva.",opportunities_with_zero_amount,open
gap_past_close_date_open_opps,close_date_hygiene,open_opportunities_with_past_close_date,4.0,0,critical,Há 4 oportunidades abertas com close_date no passado.,"Hipótese provável: os dados sugerem fragilidade de regra, processo ou accountability operacional; precisa ser validado antes de confirmar causa raiz.","Regras reais do CRM, exceções aprovadas, notas comerciais, motivo de alteração, critérios de forecast e validação dos managers.","O comportamento observado vem de regra de sistema, disciplina operacional, mix de carteira, exceção aprovada ou ausência de governança?",Revisar oportunidades vencidas e exigir reason code.,Head de Sales,immediate,"Melhorar forecast, pipeline hygiene, produtividade comercial, governança e qualidade da decisão executiva.",open_opportunities_with_past_close_date,open
gap_forecast_category_inconsistencies,forecast_governance,forecast_category_inconsistencies,3.0,0,critical,Há 3 forecast categories inconsistentes com stage.,"Hipótese provável: os dados sugerem fragilidade de regra, processo ou accountability operacional; precisa ser validado antes de confirmar causa raiz.","Regras reais do CRM, exceções aprovadas, notas comerciais, motivo de alteração, critérios de forecast e validação dos managers.","O comportamento observado vem de regra de sistema, disciplina operacional, mix de carteira, exceção aprovada ou ausência de governança?",Criar matriz stage x forecast category.,RevOps,immediate,"Melhorar forecast, pipeline hygiene, produtividade comercial, governança e qualidade da decisão executiva.",forecast_category_inconsistencies,open
gap_stage_probability_incompatibility,forecast_governance,invalid_stage_probability_combinations,14.0,0,high,Há 14 probabilidades incompatíveis com stage.,"Hipótese provável: os dados sugerem fragilidade de regra, processo ou accountability operacional; precisa ser validado antes de confirmar causa raiz.","Regras reais do CRM, exceções aprovadas, notas comerciais, motivo de alteração, critérios de forecast e validação dos managers.","O comportamento observado vem de regra de sistema, disciplina operacional, mix de carteira, exceção aprovada ou ausência de governança?",Padronizar probability por stage.,CRM Manager,this_week,"Melhorar forecast, pipeline hygiene, produtividade comercial, governança e qualidade da decisão executiva.",invalid_stage_probability_combinations,open
gap_manual_close_date_changes,close_date_hygiene,manual_close_date_change_rate,0.506,<= 0.35,high,Alterações manuais de close_date representam 50.6% dos eventos.,"Hipótese provável: os dados sugerem fragilidade de regra, processo ou accountability operacional; precisa ser validado antes de confirmar causa raiz.","Regras reais do CRM, exceções aprovadas, notas comerciais, motivo de alteração, critérios de forecast e validação dos managers.","O comportamento observado vem de regra de sistema, disciplina operacional, mix de carteira, exceção aprovada ou ausência de governança?",Exigir reason code para pushes.,Sales Ops,this_week,"Melhorar forecast, pipeline hygiene, produtividade comercial, governança e qualidade da decisão executiva.",manual_close_date_change_rate,open
gap_overdue_remediation_tasks,remediation_governance,overdue_remediation_tasks,3.0,0,high,Há 3 tarefas de remediação atrasadas.,"Hipótese provável: os dados sugerem fragilidade de regra, processo ou accountability operacional; precisa ser validado antes de confirmar causa raiz.","Regras reais do CRM, exceções aprovadas, notas comerciais, motivo de alteração, critérios de forecast e validação dos managers.","O comportamento observado vem de regra de sistema, disciplina operacional, mix de carteira, exceção aprovada ou ausência de governança?",Criar SLA semanal de remediação.,RevOps Manager,this_week,"Melhorar forecast, pipeline hygiene, produtividade comercial, governança e qualidade da decisão executiva.",remediation_completion_rate,open
gap_low_forecast_reliability,forecast_governance,forecast_reliability_score,88.0,>= 90,critical,Forecast reliability score está em 88.0/100.,"Hipótese provável: os dados sugerem fragilidade de regra, processo ou accountability operacional; precisa ser validado antes de confirmar causa raiz.","Regras reais do CRM, exceções aprovadas, notas comerciais, motivo de alteração, critérios de forecast e validação dos managers.","O comportamento observado vem de regra de sistema, disciplina operacional, mix de carteira, exceção aprovada ou ausência de governança?",Rodar forecast cleanup antes da próxima reunião executiva.,CRO e Head de RevOps,immediate,"Melhorar forecast, pipeline hygiene, produtividade comercial, governança e qualidade da decisão executiva.",forecast_reliability_score,open
gap_high_revenue_at_risk,revenue_risk,revenue_at_risk_from_data_quality,1543800.0,<= 1000000,critical,"Pipeline associado a problemas de qualidade soma R$ 1,543,800.","Hipótese provável: os dados sugerem fragilidade de regra, processo ou accountability operacional; precisa ser validado antes de confirmar causa raiz.","Regras reais do CRM, exceções aprovadas, notas comerciais, motivo de alteração, critérios de forecast e validação dos managers.","O comportamento observado vem de regra de sistema, disciplina operacional, mix de carteira, exceção aprovada ou ausência de governança?",Priorizar correção por valor em risco.,CRO,immediate,"Melhorar forecast, pipeline hygiene, produtividade comercial, governança e qualidade da decisão executiva.",revenue_at_risk_from_data_quality,open
